sensor,baseline,minutes,pid,macro,early_late_contrast_cosine,binary_accuracy
Libre GL,start,180,34,fat,-0.050977039638846325,0.5
Libre GL,start,180,35,carbs,0.9350697813036951,0.5
Libre GL,start,180,35,protein,-0.6730241938594714,0.5
Libre GL,start,180,35,fat,-0.43709736278358013,0.5
Libre GL,start,180,36,carbs,0.8428150253059711,0.5
Libre GL,start,180,36,protein,0.023824934529866025,0.5
Libre GL,start,180,36,fat,-0.7541878205508911,0.0
Libre GL,start,180,38,carbs,0.6119417589603647,1.0
Libre GL,start,180,38,protein,0.2946800369341232,1.0
Libre GL,start,180,38,fat,0.008311089086443539,0.5
Libre GL,start,180,41,carbs,0.9721632608147549,0.5
Libre GL,start,180,41,protein,0.9914611890159516,0.5
Libre GL,start,180,41,fat,0.2200955983082137,0.5
Libre GL,start,180,42,carbs,-0.6863160618136956,0.5
Libre GL,start,180,42,protein,-0.624659358659154,0.0
Libre GL,start,180,42,fat,-0.33017716016976933,0.5
Libre GL,start,180,43,carbs,0.8048379315206077,1.0
Libre GL,start,180,43,protein,0.7208073006792856,0.5
Libre GL,start,180,43,fat,0.5191815633864834,1.0
Libre GL,start,180,44,carbs,0.9414167248643371,1.0
Libre GL,start,180,44,protein,0.1854000777445749,0.5
Libre GL,start,180,44,fat,-0.4414990327943978,0.0
Libre GL,start,180,45,carbs,0.3875786253710803,0.5
Libre GL,start,180,45,protein,-0.5992523265186007,0.0
Libre GL,start,180,45,fat,0.20016538521140467,0.5
Libre GL,start,180,49,carbs,0.43290499796003923,0.5
Libre GL,start,180,49,protein,-0.90323065577374,0.5
Libre GL,start,180,49,fat,-0.9636582482359574,0.5
Dexcom GL,pre10,60,2,carbs,0.991628606179482,1.0
Dexcom GL,pre10,60,2,protein,0.8498006641874539,1.0
Dexcom GL,pre10,60,2,fat,0.4362938899935916,1.0
Dexcom GL,pre10,60,4,carbs,0.7765373986556686,0.5
Dexcom GL,pre10,60,4,protein,0.6971819430955498,0.5
Dexcom GL,pre10,60,4,fat,0.6425312787659554,0.5
Dexcom GL,pre10,60,5,carbs,0.8131487759721392,0.5
Dexcom GL,pre10,60,5,protein,0.7188907184051038,1.0
Dexcom GL,pre10,60,5,fat,-0.6017591562379984,0.5
Dexcom GL,pre10,60,6,carbs,-0.9512507777238474,0.0
Dexcom GL,pre10,60,6,protein,0.21893779411814418,0.5
Dexcom GL,pre10,60,6,fat,-0.8291266159091133,0.0
Dexcom GL,pre10,60,8,carbs,0.3747118022147198,0.5
Dexcom GL,pre10,60,8,protein,-0.026279094645814873,0.5
Dexcom GL,pre10,60,8,fat,0.9374019786355854,1.0
Dexcom GL,pre10,60,9,carbs,-0.24042425852111185,0.5
Dexcom GL,pre10,60,9,protein,-0.7878229540857499,0.0
Dexcom GL,pre10,60,9,fat,0.9876785586649611,1.0
Dexcom GL,pre10,60,10,carbs,0.8227146586986261,0.5
Dexcom GL,pre10,60,10,protein,-0.394004346868589,0.0
Dexcom GL,pre10,60,10,fat,0.4520886292005222,0.5
Dexcom GL,pre10,60,14,carbs,0.5680462964936723,0.5
Dexcom GL,pre10,60,14,protein,0.3892661311174916,1.0
Dexcom GL,pre10,60,14,fat,0.36653109356339414,0.5
Dexcom GL,pre10,60,17,carbs,0.3859767158968326,0.5
Dexcom GL,pre10,60,17,protein,0.8235659140145006,0.5
Dexcom GL,pre10,60,17,fat,0.0384273749036901,0.5
Dexcom GL,pre10,60,27,carbs,-0.704237443307018,0.5
Dexcom GL,pre10,60,27,protein,-0.4347682524829853,0.5
Dexcom GL,pre10,60,27,fat,0.854480357572314,1.0
Dexcom GL,pre10,60,31,carbs,0.6694683051068108,1.0
Dexcom GL,pre10,60,31,protein,0.7485248898894207,1.0
Dexcom GL,pre10,60,31,fat,0.5410471910324444,1.0
Dexcom GL,pre10,60,32,carbs,-0.4900650746151905,0.5
Dexcom GL,pre10,60,32,protein,-0.40412077086636367,0.5
Dexcom GL,pre10,60,32,fat,-0.695576745268411,0.0
Dexcom GL,pre10,60,34,carbs,0.17604158359058739,0.5
Dexcom GL,pre10,60,34,protein,-0.2875615775253446,0.5
Dexcom GL,pre10,60,34,fat,-0.2120269906709494,0.5
Dexcom GL,pre10,60,35,carbs,0.918979701055624,1.0
Dexcom GL,pre10,60,35,protein,0.9230612171328673,1.0
Dexcom GL,pre10,60,35,fat,0.8042312295705367,0.5
Dexcom GL,pre10,60,36,carbs,0.7287462819214946,0.5
Dexcom GL,pre10,60,36,protein,0.5431897749170738,0.5
Dexcom GL,pre10,60,36,fat,0.23181471930063496,1.0
Dexcom GL,pre10,60,38,carbs,0.5104457771980757,1.0
Dexcom GL,pre10,60,38,protein,0.6126395118707284,1.0
Dexcom GL,pre10,60,38,fat,0.8548371586744287,0.5
Dexcom GL,pre10,60,41,carbs,0.9820648407282375,1.0
Dexcom GL,pre10,60,41,protein,0.5576991106031789,0.5
Dexcom GL,pre10,60,41,fat,0.9314132552883352,0.5
Dexcom GL,pre10,60,42,carbs,0.9182405511197139,1.0
Dexcom GL,pre10,60,42,protein,-0.36017779115004445,0.5
Dexcom GL,pre10,60,42,fat,0.8671971886622266,1.0
Dexcom GL,pre10,60,43,carbs,0.8662310921250455,0.5
Dexcom GL,pre10,60,43,protein,0.8764610371637698,0.5
Dexcom GL,pre10,60,43,fat,0.7443227083737783,0.5
Dexcom GL,pre10,60,45,carbs,0.65181459953016,0.5
Dexcom GL,pre10,60,45,protein,0.8989893226273148,1.0
Dexcom GL,pre10,60,45,fat,0.7921673026319862,1.0
Dexcom GL,pre10,60,49,carbs,0.8528468754581976,0.5
Dexcom GL,pre10,60,49,protein,-0.7222491785584564,0.5
Dexcom GL,pre10,60,49,fat,-0.8613262423010878,0.0
Dexcom GL,pre10,120,2,carbs,0.987273867789726,0.5
Dexcom GL,pre10,120,2,protein,0.8519078536425571,1.0
