pid,source_row,time,food,amount,unit,Carbs,Protein,Fat,Calories,complete_macros,gram_unit,macro_mass,mass_conflict,calorie_macro_mismatch,macro_kcal
7,96,2020-03-21 16:00:00,Hershey's Milk Chocolate Bar,43.0,gram,26.0,3.0,13.0,220.0,True,True,42.0,False,False,233.0
7,97,2020-03-21 19:15:00,Salad - Spring Mix,60.0,gram,3.1,1.3,0.3,17.0,True,True,4.7,False,False,20.3
7,98,2020-03-21 19:15:00,Chickpeas,78.0,gram,20.9,6.9,2.0,127.4,True,True,29.799999999999997,False,False,129.2
7,99,2020-03-21 19:15:00,Red Onion,18.0,gram,1.8,0.3,0.0,7.9,True,True,2.1,False,False,8.4
7,100,2020-03-21 19:15:00,(Toast) Red Wine Vinegrette,1.0,teaspoon,0.6,0.0,1.0,12.0,True,False,1.6,False,False,11.4
7,101,2020-03-21 19:15:00,"Homemade Chicken Noodle Soup with chicken, onion, celery, (Kirkland) organic chicken stock, and (Amish Kitchens) wide egg noodles",2.0,cup,15.0,6.3,4.7,124.0,True,False,26.0,False,False,127.5
7,102,2020-03-21 20:55:00,(Jolly Time) Select Yellow Pop Corn - Air Popped,0.25,cup,48.0,8.0,2.0,200.0,True,False,58.0,False,True,242.0
7,103,2020-03-21 20:55:00,Virgil's Zero Sugar Black Cherry Soda,12.0,ounce,0.0,0.0,0.0,0.0,True,False,0.0,False,False,0.0
7,104,2020-03-22 08:30:00,Boost,,nan,82.0,26.0,26.0,654.0,True,False,134.0,False,False,666.0
8,2,2020-03-14 14:15:00,Golden Crust Chicken Patil,4.0,gram,41.0,30.0,12.0,405.0,True,True,83.0,True,False,392.0
